Load,ahp,boiler,chp,ar,hrar,ec,TES-H,TES-C
0.504,46.08089858,4.79815877,1.517599598,43.52667559,32.27225901,320.8967906,1.556795417,11.26078553
0.505,46.17186357,4.804912675,1.521146432,43.56386482,32.29794629,321.045048,1.558730613,11.27478341
0.506,46.26285992,4.811690982,1.524708534,43.60110198,32.3236547,321.1935362,1.560669164,11.28880555
0.507,46.35388776,4.818493846,1.528286012,43.63838736,32.34938439,321.3422638,1.562611086,11.30285208
0.508,46.44494728,4.825321426,1.531878971,43.67572121,32.37513549,321.4912393,1.564556396,11.31692311
0.509,46.53603861,4.83217388,1.535487521,43.71310382,32.40090817,321.6404712,1.566505107,11.33101875
0.51,46.62716192,4.839051368,1.53911177,43.75053545,32.42670256,321.789968,1.568457237,11.34513911
0.511,46.71831736,4.845954053,1.542751828,43.78801638,32.45251881,321.9397382,1.570412802,11.35928432
0.512,46.80950509,4.852882098,1.546407805,43.82554687,32.47835708,322.0897904,1.572371817,11.37345448
0.513,46.90072527,4.859835665,1.550079813,43.86312721,32.50421751,322.240133,1.574334298,11.38764972
0.514,46.99197805,4.866814921,1.553767966,43.90075765,32.53010024,322.3907744,1.576300261,11.40187014
0.515,47.08326359,4.873820033,1.557472377,43.93843849,32.55600543,322.541723,1.578269722,11.41611587
0.516,47.17458205,4.880851168,1.56119316,43.97616997,32.58193322,322.6929872,1.580242698,11.43038701
0.517,47.26593358,4.887908497,1.564930432,44.01395239,32.60788376,322.8445755,1.582219204,11.4446837
0.518,47.35731834,4.89499219,1.56868431,44.05178601,32.6338572,322.9964961,1.584199257,11.45900604
0.519,47.4487365,4.902102418,1.572454911,44.0896711,32.65985368,323.1487574,1.586182873,11.47335415
0.52,47.5401882,4.909239357,1.576242355,44.12760794,32.68587336,323.3013677,1.588170068,11.48772814
0.521,47.6316736,4.916403181,1.580046761,44.1655968,32.71191638,323.4543352,1.590160858,11.50212815
0.522,47.72319286,4.923594067,1.583868251,44.20363795,32.73798289,323.6076682,1.592155259,11.51655427
0.523,47.81474614,4.930812192,1.587706946,44.24173167,32.76407303,323.7613749,1.594153289,11.53100665
0.524,47.90633359,4.938057736,1.591562972,44.27987823,32.79018697,323.9154634,1.596154963,11.54548538
0.525,47.99795538,4.94533088,1.595436451,44.31807791,32.81632484,324.069942,1.598160298,11.55999059
0.526,48.08961166,4.952631806,1.59932751,44.35633097,32.84248679,324.2248187,1.600169311,11.5745224
0.527,48.18130258,4.959960698,1.603236275,44.39463769,32.86867298,324.3801015,1.602182017,11.58908093
0.528,48.27302831,4.967317742,1.607162874,44.43299835,32.89488355,324.5357986,1.604198433,11.6036663
0.529,48.364789,4.974703125,1.611107438,44.47141322,32.92111866,324.6919179,1.606218577,11.61827863
0.53,48.45658481,4.982117034,1.615070095,44.50988257,32.94737844,324.8484674,1.608242465,11.63291803
0.531,48.54841591,4.989559661,1.619050978,44.54840668,32.97366306,325.005455,1.610270113,11.64758464
0.532,48.64028243,4.997031198,1.623050219,44.58698583,32.99997265,325.1628886,1.612301538,11.66227857
0.533,48.73218455,5.004531836,1.627067953,44.62562028,33.02630737,325.3207761,1.614336757,11.67699995
0.534,48.82412243,5.012061772,1.631104314,44.66431033,33.05266738,325.4791251,1.616375787,11.69174889
0.535,48.91609621,5.019621202,1.63515944,44.70305623,33.07905281,325.6379436,1.618418645,11.70652551
0.536,49.00810606,5.027210325,1.639233469,44.74185827,33.10546383,325.7972392,1.620465347,11.72132995
0.537,49.10015214,5.03482934,1.643326539,44.78071673,33.13190058,325.9570196,1.622515912,11.73616232
0.538,49.1922346,5.042478448,1.64743879,44.81963188,33.15836321,326.1172924,1.624570355,11.75102274
0.539,49.28435361,5.050157855,1.651570366,44.858604,33.18485187,326.2780652,1.626628694,11.76591135
0.54,49.37650932,5.057867764,1.655721409,44.89763336,33.21136671,326.4393456,1.628690946,11.78082826
0.541,49.46870188,5.065608383,1.659892064,44.93672024,33.2379079,326.6011409,1.630757128,11.7957736
0.542,49.56093147,5.07337992,1.664082477,44.97586493,33.26447556,326.7634587,1.632827258,11.81074749
0.543,49.65319823,5.081182586,1.668292794,45.01506769,33.29106987,326.9263063,1.634901353,11.82575006
0.544,49.74550233,5.089016594,1.672523165,45.05432882,33.31769097,327.089691,1.636979429,11.84078144
0.545,49.83784393,5.096882157,1.676773741,45.09364858,33.34433902,327.2536203,1.639061506,11.85584174
0.546,49.93022317,5.104779491,1.681044672,45.13302726,33.37101416,327.4181011,1.641147599,11.87093111
0.547,50.02264023,5.112708816,1.685336112,45.17246513,33.39771654,327.5831409,1.643237727,11.88604965
0.548,50.11509526,5.120670349,1.689648216,45.21196248,33.42444633,327.7487466,1.645331907,11.90119751
0.549,50.20758842,5.128664314,1.693981139,45.25151959,33.45120368,327.9149254,1.647430156,11.9163748
0.55,50.30011987,5.136690934,1.69833504,45.29113673,33.47798874,328.0816843,1.649532493,11.93158166
0.551,50.39268977,5.144750435,1.702710078,45.33081419,33.50480165,328.2490302,1.651638936,11.94681821
0.552,50.48529827,5.152843044,1.707106413,45.37055226,33.53164259,328.41697,1.653749501,11.96208459
0.553,50.57794555,5.160968991,1.711524208,45.4103512,33.5585117,328.5855106,1.655864207,11.97738091
0.554,50.67063175,5.169128509,1.715963628,45.45021131,33.58540913,328.7546587,1.657983072,11.99270732
0.555,50.76335703,5.17732183,1.720424836,45.49013287,33.61233505,328.9244212,1.660106113,12.00806394
0.556,50.85612156,5.185549191,1.724908002,45.53011616,33.6392896,329.0948046,1.66223335,12.0234509
0.557,50.9489255,5.193810831,1.729413294,45.57016147,33.66627294,329.2658156,1.664364799,12.03886834
0.558,51.041769,5.202106988,1.733940882,45.61026907,33.69328523,329.4374608,1.666500479,12.05431637
0.559,51.13465223,5.210437906,1.738490939,45.65043926,33.72032663,329.6097465,1.668640408,12.06979515
0.56,51.22757534,5.21880383,1.74306364,45.69067232,33.74739729,329.7826793,1.670784605,12.08530479
0.561,51.3205385,5.227205005,1.747659159,45.73096853,33.77449736,329.9562655,1.672933087,12.10084543
0.562,51.41354186,5.235641682,1.752277675,45.77132819,33.80162702,330.1305114,1.675085874,12.11641721
0.563,51.50658558,5.24411411,1.756919366,45.81175157,33.8287864,330.3054233,1.677242983,12.13202025
0.564,51.59966983,5.252622545,1.761584416,45.85223896,33.85597568,330.4810072,1.679404434,12.14765469
0.565,51.69279477,5.261167242,1.766273005,45.89279066,33.883195,330.6572695,1.681570244,12.16332067
0.566,51.78596055,5.269748458,1.770985321,45.93340696,33.91044453,330.834216,1.683740433,12.17901832
0.567,51.87916734,5.278366456,1.775721548,45.97408813,33.93772443,331.0118527,1.685915018,12.19474778
0.568,51.97241529,5.287021497,1.780481877,46.01483447,33.96503486,331.1901856,1.68809402,12.21050918
0.569,52.06570458,5.295713848,1.785266498,46.05564626,33.99237597,331.3692206,1.690277456,12.22630265
0.57,52.15903535,5.304443776,1.790075604,46.09652381,34.01974793,331.5489633,1.692465346,12.24212834
0.571,52.25240777,5.313211552,1.794909389,46.1374674,34.04715089,331.7294196,1.694657709,12.25798638
0.572,52.345822,5.322017448,1.799768051,46.17847732,34.07458503,331.910595,1.696854563,12.27387691
0.573,52.4392782,5.330861741,1.804651787,46.21955386,34.10205049,332.0924951,1.699055929,12.28980007
0.574,52.53277654,5.339744708,1.809560801,46.26069732,34.12954744,332.2751254,1.701261824,12.305756
0.575,52.62631716,5.34866663,1.814495293,46.30190799,34.15707605,332.4584915,1.703472268,12.32174483
0.576,52.71990025,5.35762779,1.819455469,46.34318617,34.18463647,332.6425985,1.705687281,12.3377667
0.577,52.81352595,5.366628475,1.824441538,46.38453214,34.21222887,332.8274519,1.707906882,12.35382177
0.578,52.90719442,5.375668973,1.829453707,46.42594621,34.23985342,333.0130569,1.71013109,12.36991016
0.579,53.00090584,5.384749575,1.83449219,46.46742866,34.26751026,333.1994185,1.712359926,12.38603202
