,commercial,domestic
200,-322.6612233,-9.53929254
201,-338.5631405,-8.10887829
202,-329.2481271,-8.06663701
203,-331.2264184,-8.23009346
204,-330.720691,-8.08095939
205,-314.8281815,-7.85479598
206,-302.9953825,-7.86138211
207,-311.3540432,-8.4980194
208,-335.5421028,-10.83798346
209,-298.9008498,-15.12456395
210,-315.0592388,-17.66626287
211,-315.2602078,-17.4958677
212,-324.4927357,-16.17416021
213,-303.5307612,-14.71397486
214,-222.0397038,-11.88609387
215,-154.740635,-9.08137038
216,-114.5349659,-6.3112984
217,-107.1835403,-5.1965097
218,-99.28140506,-4.7626818
219,-99.28140506,-4.6424207
220,-99.28140506,-4.61760275
221,-122.2135619,-5.13042251
222,-210.1431131,-7.1130585
223,-286.7023295,-9.76262726
224,-322.6612233,-9.53929254
225,-338.6089728,-8.10887829
226,-329.2547063,-8.06663701
227,-331.2283312,-8.23009346
228,-330.7184657,-8.08095939
229,-314.8257667,-7.85479598
230,-302.9919707,-7.86138211
231,-311.3462358,-8.4980194
232,-335.5590989,-10.83798346
233,-299.0013332,-15.12456395
234,-315.0592388,-17.66626287
235,-315.2602078,-17.4958677
236,-324.4927357,-16.17416021
237,-303.5307612,-14.71397486
238,-222.0399234,-11.88609387
239,-154.740635,-9.08137038
240,-114.5349659,-6.3112984
241,-107.1835403,-5.1965097
242,-99.28140506,-4.7626818
243,-99.28140506,-4.6424207
244,-99.28140506,-4.61760275
245,-122.2135619,-5.13042251
246,-209.9885739,-7.1130585
247,-286.6977452,-9.76262726
248,-322.6646691,-9.53929254
249,-338.4829819,-8.10887829
250,-329.1588963,-8.06663701
251,-331.1481721,-8.23009346
252,-330.7241793,-8.08095939
253,-314.8517152,-7.85479598
254,-302.9943216,-7.86138211
255,-311.3487878,-8.4980194
256,-335.5765205,-10.83798346
257,-299.016552,-15.12456395
258,-315.0592388,-17.66626287
259,-315.2602078,-17.4958677
260,-324.4927357,-16.17416021
261,-303.5307612,-14.71397486
262,-222.0397038,-11.88609387
263,-154.740635,-9.08137038
264,-114.5349659,-6.3112984
265,-107.1835403,-5.1965097
266,-99.28140506,-4.7626818
267,-99.28140506,-4.6424207
268,-99.28140506,-4.61760275
269,-122.2135619,-5.13042251
270,-209.6408605,-7.1130585
271,-286.6968229,-9.76262726
272,-322.6688236,-9.53929254
273,-338.3310643,-8.10887829
274,-329.2063734,-8.06663701
275,-331.2355625,-8.23009346
276,-330.7520103,-8.08095939
277,-314.8837267,-7.85479598
278,-302.9996141,-7.86138211
279,-311.3558763,-8.4980194
280,-335.605422,-10.83798346
281,-299.0304319,-15.12456395
282,-315.0592388,-17.66626287
283,-315.2602078,-17.4958677
284,-324.4927357,-16.17416021
285,-303.5307801,-14.71397486
286,-222.0397038,-11.88609387
287,-154.740635,-9.08137038
288,-114.5349659,-6.3112984
289,-107.1835403,-5.1965097
290,-99.28140506,-4.7626818
291,-99.28140506,-4.6424207
292,-99.28140506,-4.61760275
293,-122.2135619,-5.13042251
294,-209.8340346,-7.1130585
295,-286.7029457,-9.76262726
296,-322.6736614,-9.53929254
297,-338.5998245,-8.10887829
298,-329.2552225,-8.06663701
299,-331.231987,-8.23009346
300,-330.7435968,-8.08095939
301,-314.871742,-7.85479598
302,-302.9910408,-7.86138211
303,-311.3472196,-8.4980194
304,-335.6061427,-10.83798346
305,-299.0370515,-15.12456395
306,-315.0592388,-17.66626287
307,-315.2602078,-17.4958677
308,-324.4927357,-16.17416021
309,-303.5307612,-14.71397486
310,-222.0582979,-11.88609387
311,-154.7472464,-9.08137038
312,-111.3769724,-6.37703523
313,-111.3769724,-5.23597994
314,-93.92057303,-4.78879418
315,-93.92057303,-4.65607474
316,-93.92057303,-4.6443143
317,-100.4641458,-5.17138943
318,-177.663333,-7.21931362
319,-224.7222874,-9.97424088
320,-299.9865587,-9.86366555
321,-307.8970589,-8.55918888
322,-294.0219581,-8.5757993
323,-287.3135751,-8.75498106
324,-286.0652272,-8.55906445
325,-265.4520278,-8.29067631
326,-228.739782,-8.25263783
327,-235.811416,-8.86860913
328,-257.4305424,-11.19716265
329,-216.69609,-15.47808325
330,-277.6353104,-18.00936602
331,-267.3400586,-17.83831525
332,-278.6472808,-16.52271391
333,-272.9775037,-15.07004344
334,-223.9112292,-12.16902599
335,-153.78548,-9.23671883
336,-120.5727272,-6.37703523
337,-120.5727272,-5.23597994
338,-103.1163279,-4.78879418
339,-103.1163279,-4.65607474
340,-103.1163279,-4.6443143
341,-108.1145079,-5.17138943
342,-166.832773,-7.21931362
343,-217.4583023,-9.97424088
344,-257.3541484,-9.86366555
345,-253.8239964,-8.55918888
346,-250.109858,-8.5757993
347,-245.752678,-8.75498106
348,-245.7890109,-8.55906445
349,-218.5483559,-8.29067631
350,-210.2450284,-8.25263783
351,-218.5991191,-8.86860913
352,-239.8986773,-11.19716265
353,-206.8800547,-15.47808325
354,-268.4252659,-18.00936602
355,-267.3400586,-17.83831525
356,-287.8430357,-16.52271391
357,-263.7817489,-15.07004344
358,-214.7154743,-12.16902599
359,-153.78548,-9.23671883
360,-120.5727272,-6.3112984
361,-120.5727272,-5.1965097
362,-103.1163279,-4.7626818
363,-103.1163279,-4.6424207
364,-103.1163279,-4.61760275
365,-108.1145079,-5.13042251
366,-166.832773,-7.1130585
367,-217.4461599,-9.76262726
368,-257.3514707,-9.53929254
369,-253.8286229,-8.10887829
370,-250.1140622,-8.06663701
371,-245.7563476,-8.23009346
372,-245.7932616,-8.08095939
373,-218.5506641,-7.85479598
374,-210.2500748,-7.86138211
375,-218.6066449,-8.4980194
376,-239.9040217,-10.83798346
377,-206.8800547,-15.12456395
378,-268.4252659,-17.66626287
379,-267.3400586,-17.4958677
380,-287.8430357,-16.17416021
381,-263.7817489,-14.71397486
382,-214.7154743,-11.88609387
383,-153.78548,-9.08137038
384,-114.5349659,-6.3112984
385,-107.1835403,-5.1965097
386,-99.28140506,-4.7626818
387,-99.85592348,-4.6424207
388,-99.85592348,-4.61760275
389,-123.1710926,-5.13042251
390,-209.8340346,-7.1130585
391,-286.6968229,-9.76262726
392,-322.6612233,-9.53929254
393,-338.4870998,-8.10887829
394,-329.2627391,-8.06663701
395,-331.2387019,-8.23009346
396,-330.7301765,-8.08095939
397,-314.8363301,-7.85479598
398,-303.0037176,-7.86138211
399,-311.3617696,-8.4980194
400,-335.5497165,-10.83798346
401,-298.9362511,-15.12456395
402,-315.0592388,-17.66626287
403,-315.2602078,-17.4958677
404,-324.4927357,-16.17416021
405,-303.5307612,-14.71397486
406,-222.0450103,-11.88609387
407,-154.740635,-9.08137038
408,-114.5349659,-6.3112984
409,-107.1835403,-5.1965097
410,-99.28140506,-4.7626818
411,-99.28140506,-4.6424207
412,-99.28140506,-4.61760275
413,-122.2135619,-5.13042251
414,-210.606731,-7.1130585
415,-286.7077002,-9.76262726
416,-322.6618722,-9.53929254
417,-338.6076705,-8.10887829
418,-329.2615102,-8.06663701
419,-331.2369789,-8.23009346
420,-330.7327256,-8.08095939
421,-314.8650041,-7.85479598
422,-302.9993004,-7.86138211
423,-311.3559837,-8.4980194
424,-335.6003261,-10.83798346
425,-299.0243339,-15.12456395
426,-315.0592388,-17.66626287
427,-315.2602078,-17.4958677
428,-324.4927357,-16.17416021
429,-303.5307612,-14.71397486
430,-222.0551015,-11.88609387
431,-154.7442625,-9.08137038
432,-114.5349659,-6.3112984
433,-107.1835403,-5.1965097
434,-99.28140506,-4.7626818
435,-99.28140506,-4.6424207
436,-99.28140506,-4.61760275
437,-122.2135619,-5.13042251
438,-210.7612703,-7.1130585
439,-286.7104248,-9.76262726
440,-322.675554,-9.53929254
441,-338.6075458,-8.10887829
442,-329.2652744,-8.06663701
443,-331.266402,-8.23009346
444,-330.8285204,-8.08095939
445,-314.9448617,-7.85479598
446,-303.0271032,-7.86138211
447,-311.3790489,-8.4980194
448,-335.6409848,-10.83798346
449,-299.057203,-15.12456395
450,-315.0823593,-17.66626287
451,-315.2602104,-17.4958677
452,-324.4927357,-16.17416021
453,-303.5309761,-14.71397486
454,-222.0740199,-11.88609387
455,-154.7496102,-9.08137038
456,-114.5349659,-6.3112984
457,-107.1835403,-5.1965097
458,-99.28140506,-4.7626818
459,-99.28140506,-4.6424207
460,-99.28140506,-4.61760275
461,-122.2135619,-5.13042251
462,-210.7612703,-7.1130585
463,-286.7106542,-9.76262726
464,-322.6921669,-9.53929254
465,-338.5565939,-8.10887829
466,-329.2322984,-8.06663701
467,-331.2425949,-8.23009346
468,-330.7738938,-8.08095939
469,-314.9187214,-7.85479598
470,-303.0162164,-7.86138211
471,-311.3776894,-8.4980194
472,-335.6396344,-10.83798346
473,-299.0533543,-15.12456395
474,-315.0592388,-17.66626287
475,-315.2602078,-17.4958677
476,-324.4927357,-16.17416021
477,-303.5307612,-14.71397486
478,-222.0397038,-11.88609387
479,-154.740635,-9.08137038
480,-111.3769724,-6.37703523
481,-111.3769724,-5.23597994
482,-93.92057303,-4.78879418
483,-93.92057303,-4.65607474
484,-93.92057303,-4.6443143
485,-98.91875303,-5.17138943
486,-177.4701589,-7.21931362
487,-224.6043099,-9.97424088
488,-299.9837871,-9.86366555
489,-307.6314314,-8.55918888
490,-293.9089727,-8.5757993
491,-287.2881,-8.75498106
492,-286.0369499,-8.55906445
493,-265.4597213,-8.29067631
494,-228.75321,-8.25263783
495,-235.8264752,-8.86860913
496,-257.4437526,-11.19716265
497,-216.69609,-15.47808325
498,-277.6210207,-18.00936602
499,-267.3400586,-17.83831525
500,-278.6472808,-16.52271391
501,-272.9775037,-15.07004344
502,-223.9112292,-12.16902599
503,-153.78548,-9.23671883
504,-120.5727272,-6.37703523
505,-120.5727272,-5.23597994
506,-103.1163279,-4.78879418
507,-103.1163279,-4.65607474
508,-103.1163279,-4.6443143
509,-108.306014,-5.17138943
510,-166.3255165,-7.21931362
511,-218.3210882,-9.97424088
512,-257.9259482,-9.86366555
513,-253.5181791,-8.55918888
514,-249.9386416,-8.5757993
515,-245.6909356,-8.75498106
516,-245.7874923,-8.55906445
517,-218.547334,-8.29067631
518,-210.2462269,-8.25263783
519,-218.6002324,-8.86860913
520,-239.8976385,-11.19716265
521,-206.8800547,-15.47808325
522,-268.4252659,-18.00936602
523,-267.3400586,-17.83831525
524,-287.8430357,-16.52271391
525,-263.7817489,-15.07004344
526,-214.7154743,-12.16902599
527,-153.78548,-9.23671883
528,-114.5349659,-6.3112984
529,-107.1835403,-5.1965097
530,-99.85592348,-4.7626818
531,-99.85592348,-4.6424207
532,-99.85592348,-4.61760275
533,-122.7880803,-5.13042251
534,-209.8340346,-7.1130585
535,-286.6999455,-9.76262726
536,-322.6612233,-9.53929254
537,-338.5707193,-8.10887829
538,-329.2526621,-8.06663701
539,-331.2276722,-8.23009346
540,-330.7199136,-8.08095939
541,-314.8226163,-7.85479598
542,-302.9869422,-7.86138211
543,-311.3446934,-8.4980194
544,-335.5366528,-10.83798346
545,-298.9126996,-15.12456395
546,-315.0592388,-17.66626287
547,-315.2602078,-17.4958677
548,-324.4927357,-16.17416021
549,-303.5307612,-14.71397486
550,-222.0397038,-11.88609387
551,-154.740635,-9.08137038
552,-114.5349659,-6.3112984
553,-107.1835403,-5.1965097
554,-99.28140506,-4.7626818
555,-99.28140506,-4.6424207
556,-99.28140506,-4.61760275
557,-122.2135619,-5.13042251
558,-210.2976524,-7.1130585
559,-286.7011542,-9.76262726
560,-322.6612233,-9.53929254
561,-338.5038386,-8.10887829
562,-329.1578401,-8.06663701
563,-331.0835294,-8.23009346
564,-330.6350773,-8.08095939
565,-314.7910616,-7.85479598
566,-302.9507856,-7.86138211
567,-311.3065812,-8.4980194
568,-335.5581156,-10.83798346
569,-299.0133753,-15.12456395
570,-315.0592388,-17.66626287
571,-315.2602078,-17.4958677
572,-324.4927357,-16.17416021
573,-303.5307612,-14.71397486
574,-222.0397038,-11.88609387
575,-154.740635,-9.08137038
576,-114.5349659,-6.3112984
577,-107.1835403,-5.1965097
578,-99.28140506,-4.7626818
579,-99.28140506,-4.6424207
580,-99.28140506,-4.61760275
581,-122.2135619,-5.13042251
582,-209.3317819,-7.1130585
583,-286.6968229,-9.76262726
584,-322.6617214,-9.53929254
585,-338.2604835,-8.10887829
586,-328.9885412,-8.06663701
587,-331.0418803,-8.23009346
588,-330.6386315,-8.08095939
589,-314.8177616,-7.85479598
590,-302.9489691,-7.86138211
591,-311.3473341,-8.4980194
592,-335.5875844,-10.83798346
593,-299.0244439,-15.12456395
594,-315.0592388,-17.66626287
595,-315.2602078,-17.4958677
596,-324.4927357,-16.17416021
597,-303.5307612,-14.71397486
598,-222.0397038,-11.88609387
599,-154.740635,-9.08137038
600,-114.5349659,-6.3112984
601,-107.1835403,-5.1965097
602,-99.28140506,-4.7626818
603,-99.28140506,-4.6424207
604,-99.28140506,-4.61760275
605,-122.2135619,-5.13042251
606,-209.8340346,-7.1130585
607,-286.7013758,-9.76262726
608,-322.6700867,-9.53929254
609,-338.5726713,-8.10887829
610,-329.2565747,-8.06663701
611,-331.2318946,-8.23009346
612,-330.7298195,-8.08095939
613,-314.8700754,-7.85479598
614,-302.9950835,-7.86138211
615,-311.3504542,-8.4980194
616,-335.596662,-10.83798346
617,-299.029379,-15.12456395
618,-315.0592388,-17.66626287
619,-315.2602078,-17.4958677
620,-324.4927357,-16.17416021
621,-303.5307612,-14.71397486
622,-222.0397038,-11.88609387
623,-154.740635,-9.08137038
624,-114.5349659,-6.3112984
625,-107.1835403,-5.1965097
626,-99.28140506,-4.7626818
627,-99.28140506,-4.6424207
628,-99.28140506,-4.61760275
629,-122.2135619,-5.13042251
630,-210.4521917,-7.1130585
631,-286.7036018,-9.76262726
632,-322.6812728,-9.53929254
633,-338.603821,-8.10887829
634,-329.2605016,-8.06663701
635,-331.2376628,-8.23009346
636,-330.7867495,-8.08095939
637,-314.9283979,-7.85479598
638,-303.0245143,-7.86138211
639,-311.3854926,-8.4980194
640,-335.642605,-10.83798346
641,-299.0602327,-15.12456395
642,-315.0646282,-17.66626287
643,-315.2602078,-17.4958677
644,-324.4927357,-16.17416021
645,-303.5307612,-14.71397486
646,-222.0626636,-11.88609387
647,-154.7500852,-9.08137038
648,-111.3769724,-6.37703523
649,-111.3769724,-5.23597994
650,-93.92057303,-4.78879418
651,-93.92057303,-4.65607474
652,-93.92057303,-4.6443143
653,-98.91875303,-5.17138943
654,-178.6292034,-7.21931362
655,-224.6394157,-9.97424088
656,-299.9871345,-9.86366555
657,-307.9033215,-8.55918888
658,-294.0271428,-8.5757993
659,-287.3195074,-8.75498106
660,-286.0708695,-8.55906445
661,-265.4581332,-8.29067631
662,-228.7454268,-8.25263783
663,-235.8152543,-8.86860913
664,-257.4346057,-11.19716265
665,-216.69609,-15.47808325
666,-277.6231581,-18.00936602
667,-267.3400586,-17.83831525
668,-278.6472808,-16.52271391
669,-272.9775037,-15.07004344
670,-223.9112292,-12.16902599
671,-153.78548,-9.23671883
672,-120.5727272,-6.37703523
673,-120.5727272,-5.23597994
674,-103.1163279,-4.78879418
675,-103.1163279,-4.65607474
676,-103.1163279,-4.6443143
677,-108.1145079,-5.17138943
678,-166.6782337,-7.21931362
679,-217.4369659,-9.97424088
680,-257.3517143,-9.86366555
681,-253.823206,-8.55918888
682,-250.1087034,-8.5757993
683,-245.7505196,-8.75498106
684,-245.7862212,-8.55906445
685,-218.541455,-8.29067631
686,-210.2359274,-8.25263783
687,-218.5911642,-8.86860913
688,-239.8914884,-11.19716265
689,-206.8800547,-15.47808325
690,-268.4252659,-18.00936602
691,-267.3400586,-17.83831525
692,-287.8430357,-16.52271391
693,-263.7817489,-15.07004344
694,-214.7154743,-12.16902599
695,-153.78548,-9.23671883
696,-114.5349659,-6.3112984
697,-107.1835403,-5.1965097
698,-99.28140506,-4.7626818
699,-99.28140506,-4.6424207
700,-99.28140506,-4.61760275
701,-122.2135619,-5.13042251
702,-210.606731,-7.1130585
703,-286.7030443,-9.76262726
704,-322.6612233,-9.53929254
705,-338.5798616,-8.10887829
706,-329.2641025,-8.06663701
707,-331.2415722,-8.23009346
708,-330.7340156,-8.08095939
709,-314.8386375,-7.85479598
710,-303.0050407,-7.86138211
711,-311.3613053,-8.4980194
712,-335.5495056,-10.83798346
713,-298.9694899,-15.12456395
714,-315.0592388,-17.66626287
715,-315.2602078,-17.4958677
716,-324.4927357,-16.17416021
717,-303.5307612,-14.71397486
718,-222.0397038,-11.88609387
719,-154.740635,-9.08137038
720,-114.5349659,-6.3112984
721,-107.1835403,-5.1965097
722,-99.28140506,-4.7626818
723,-99.28140506,-4.6424207
724,-99.28140506,-4.61760275
725,-122.2135619,-5.13042251
726,-209.6408605,-7.1130585
727,-286.6982711,-9.76262726
728,-322.6612233,-9.53929254
729,-338.4486386,-8.10887829
730,-329.1157462,-8.06663701
731,-331.1481062,-8.23009346
732,-330.6844459,-8.08095939
733,-314.7891067,-7.85479598
734,-302.9505639,-7.86138211
735,-311.1651589,-8.4980194
736,-335.3535073,-10.83798346
737,-298.9972527,-15.12456395
738,-315.0592388,-17.66626287
739,-315.2602078,-17.4958677
740,-324.4927357,-16.17416021
741,-303.5307612,-14.71397486
742,-222.0397038,-11.88609387
743,-154.740635,-9.08137038
744,-114.5349659,-6.31085452
745,-107.1835403,-5.2173225
746,-99.28140506,-4.75718543
747,-99.28140506,-4.63669361
748,-99.28140506,-4.61121176
749,-122.2135619,-5.18476748
750,-208.9840686,-6.94685757
751,-286.7004175,-9.34329463
752,-322.6682718,-8.95638826
753,-338.5572168,-7.76115617
754,-329.2500494,-7.75196848
755,-331.2282968,-7.91543026
756,-330.7391588,-7.76595947
757,-314.8743021,-7.54038733
758,-302.9969855,-7.53982631
759,-311.3551312,-8.01923437
760,-335.6175413,-9.87167451
761,-299.0379886,-13.45839377
762,-315.0592388,-15.98626073
763,-315.2602078,-17.0520429
764,-324.4927357,-16.340016
765,-303.5307612,-14.78277742
766,-222.0397038,-11.89509458
767,-154.740635,-9.14059142
768,-114.5349659,-6.31085452
769,-107.1835403,-5.2173225
770,-99.28140506,-4.75718543
771,-99.28140506,-4.63669361
772,-99.28140506,-4.61121176
773,-122.2135619,-5.18476748
774,-209.3317819,-6.94685757
775,-286.6968229,-9.34329463
776,-322.6798651,-8.95638826
777,-338.3515477,-7.76115617
778,-329.2295765,-7.75196848
779,-331.2420834,-7.91543026
780,-330.7781272,-7.76595947
781,-314.9092856,-7.54038733
782,-303.0107123,-7.53982631
783,-311.3685306,-8.01923437
784,-335.6326102,-9.87167451
785,-299.0461676,-13.45839377
786,-315.0592388,-15.98626073
787,-315.2602078,-17.0520429
788,-324.4927357,-16.340016
789,-303.5307612,-14.78277742
790,-222.0397967,-11.89509458
791,-154.740635,-9.14059142
792,-114.5349659,-6.31085452
793,-107.1835403,-5.2173225
794,-99.28140506,-4.75718543
795,-99.28140506,-4.63669361
796,-99.28140506,-4.61121176
797,-122.2135619,-5.18476748
798,-210.4521917,-6.94685757
799,-286.7044385,-9.34329463
800,-322.6981163,-8.95638826
801,-338.6137317,-7.76115617
802,-329.2719644,-7.75196848
803,-331.2546045,-7.91543026
804,-330.8212189,-7.76595947
805,-314.9474706,-7.54038733
806,-303.056739,-7.53982631
807,-311.4489096,-8.01923437
808,-335.6972082,-9.87167451
809,-299.083912,-13.45839377
810,-315.0607606,-15.98626073
811,-315.2602078,-17.0520429
812,-324.4927357,-16.340016
813,-303.5307612,-14.78277742
814,-222.0397038,-11.89509458
815,-154.740635,-9.14059142
816,-111.3769724,-6.37659135
817,-111.3769724,-5.25679274
818,-93.92057303,-4.78329781
819,-93.92057303,-4.65034765
820,-93.92057303,-4.63792332
821,-98.91875303,-5.2257344
822,-176.6974625,-7.05311269
823,-224.6042678,-9.55490825
824,-299.9837871,-9.28076126
825,-307.6079627,-8.21146675
826,-293.9643961,-8.26113078
827,-287.3393506,-8.44031786
828,-286.0918897,-8.24406453
829,-265.4766672,-7.97626766
830,-228.7650796,-7.93108203
831,-235.8367547,-8.3898241
832,-257.4530318,-10.2308537
833,-216.69609,-13.81191307
834,-277.6238624,-16.32936388
835,-267.3400586,-17.39449044
836,-278.6472808,-16.68856971
837,-272.9775037,-15.13884599
838,-223.9112292,-12.1780267
839,-153.78548,-9.29593988
840,-120.5727272,-6.37659135
841,-120.5727272,-5.25679274
842,-103.1163279,-4.78329781
843,-103.1163279,-4.65034765
844,-103.1163279,-4.63792332
845,-108.1145079,-5.2257344
846,-166.1373463,-7.05311269
847,-217.3248967,-9.55490825
848,-257.3514298,-9.28076126
849,-253.812098,-8.21146675
850,-250.1187474,-8.26113078
851,-245.7587166,-8.44031786
852,-245.7925754,-8.24406453
853,-218.5474377,-7.97626766
854,-210.2424729,-7.93108203
855,-218.5964533,-8.3898241
856,-239.8951043,-10.2308537
857,-206.8800547,-13.81191307
858,-268.4252659,-16.32936388
859,-267.3400586,-17.39449044
860,-287.8430357,-16.68856971
861,-263.7817489,-15.13884599
862,-214.7154743,-12.1780267
863,-153.78548,-9.29593988
864,-114.5349659,-6.31085452
865,-107.1835403,-5.2173225
866,-99.85592348,-4.75718543
867,-99.85592348,-4.63669361
868,-99.85592348,-4.61121176
869,-122.2135619,-5.18476748
870,-209.8340346,-6.94685757
871,-286.7004437,-9.34329463
872,-322.6612233,-8.95638826
873,-338.599759,-7.76115617
874,-329.2557068,-7.75196848
875,-331.2322177,-7.91543026
876,-330.7231314,-7.76595947
877,-314.8249174,-7.54038733
