,commercial
357,-242.4743891
358,-237.616481
359,-174.1727306
360,-138.1152407
361,-120.3125547
362,-111.7987535
363,-107.6682209
364,-111.7951722
365,-118.5309873
366,-142.8399571
367,-202.1980379
368,-261.7642495
369,-219.907028
370,-164.3427608
371,-144.3183252
372,-131.2214948
373,-143.5478032
374,-160.5877745
375,-164.2390476
376,-142.3046894
377,-149.8150449
378,-175.9837662
379,-208.9468232
380,-229.994807
381,-231.8951144
382,-223.917359
383,-164.135873
384,-128.4183829
385,-110.8359582
386,-103.6198221
387,-99.48774755
388,-101.9497201
389,-120.4305012
390,-189.3122323
391,-248.7889598
392,-193.8094387
393,-178.9411515
394,-167.9897507
395,-135.3757117
396,-137.5040199
397,-144.8013921
398,-145.4988121
399,-142.6440903
400,-133.2496711
401,-155.5997188
402,-201.3203796
403,-202.3262364
404,-221.8287644
405,-258.0439251
406,-208.5886886
407,-151.6508112
408,-129.6138911
409,-113.7593013
410,-102.6432293
411,-98.90241952
412,-104.1155973
413,-126.1281095
414,-196.9264569
415,-255.7151887
416,-199.3626472
417,-166.7325661
418,-132.1341752
419,-120.6798332
420,-149.6119442
421,-150.3127248
422,-140.2341852
423,-142.088333
424,-132.6195444
425,-156.821369
426,-201.1521324
427,-198.7246373
428,-221.0624853
429,-258.1510461
430,-207.1042688
431,-147.8907286
432,-124.6075356
433,-108.058033
434,-102.6351167
435,-101.062581
436,-105.467572
437,-126.9606404
438,-198.0844184
439,-258.3978654
440,-200.48311
441,-200.9966808
442,-214.3390316
443,-230.1422761
444,-225.7500591
445,-206.3384148
446,-188.6280097
447,-161.5274313
448,-145.5879783
449,-173.6705685
450,-220.5176548
451,-220.1419655
452,-236.5435756
453,-262.6305125
454,-215.9895947
455,-151.9992785
456,-130.7622801
457,-118.0470781
458,-111.3611571
459,-107.8163816
460,-110.5575778
461,-132.301627
462,-203.8849134
463,-260.5022666
464,-199.7716184
465,-167.1246954
466,-131.4328865
467,-118.7649018
468,-131.4895671
469,-163.1575411
470,-152.3983369
471,-144.7857456
472,-131.5276536
473,-154.8860127
474,-201.5600399
475,-199.5269789
476,-217.4129662
477,-248.3746469
478,-194.7800436
479,-139.3838208
480,-120.4442603
481,-108.4763243
482,-101.201635
483,-96.98210872
484,-100.6501249
485,-106.2054647
486,-129.5609728
487,-185.494221
488,-252.6470244
489,-222.1447897
490,-190.8799405
491,-181.4763388
492,-148.8419495
493,-141.7430636
494,-158.1068483
495,-163.4041899
496,-142.4168687
497,-146.9077201
498,-169.247218
499,-197.604619
500,-216.3755259
501,-217.6395937
502,-213.9592429
503,-156.5437282
504,-119.6906009
505,-100.4987716
506,-90.71111525
507,-86.81732704
508,-90.77932656
509,-96.32265585
510,-120.0915857
511,-178.1632362
512,-251.2533505
513,-207.632843
514,-150.7204507
515,-146.679754
516,-129.8929212
517,-136.4439427
518,-132.7693278
519,-124.6341399
520,-116.7261751
521,-134.8802437
522,-165.4642574
523,-197.8755194
524,-218.266735
525,-220.2460577
526,-216.2149658
527,-158.452505
528,-122.2238725
529,-104.5524704
530,-97.84798741
531,-94.82350281
532,-99.0986238
533,-120.6339734
534,-190.4906365
535,-248.846525
536,-188.0274698
537,-157.842043
538,-124.8404025
539,-110.9579916
540,-121.4378039
541,-115.1438983
542,-110.8399763
543,-110.9717311
544,-109.6257495
545,-135.262258
546,-173.6542704
547,-170.4860586
548,-186.5806925
549,-232.0959949
550,-190.1761723
551,-134.9535384
552,-114.0097604
553,-100.9309381
554,-94.92444731
555,-91.55128653
556,-95.80835007
557,-116.239246
558,-185.0798831
559,-241.5740789
560,-178.192053
561,-149.2990989
562,-113.55282
563,-96.67190895
564,-106.7805473
565,-118.6097463
566,-117.9376153
567,-125.3966249
568,-117.991583
569,-140.6265258
570,-184.9111106
571,-181.1871838
572,-197.3844947
573,-229.5770821
574,-181.8384802
575,-125.650674
576,-102.3538169
577,-89.10516499
578,-84.41073475
579,-81.88747146
580,-85.09634012
581,-107.1295169
582,-177.6516183
583,-232.8148231
584,-169.4983803
585,-146.62151
586,-141.5895202
587,-122.4011413
588,-115.6342705
589,-119.0392124
590,-111.5775323
591,-115.8983982
592,-111.2802533
593,-135.8480518
594,-181.1396127
595,-179.7148536
596,-197.7571834
597,-231.420605
598,-185.437044
599,-130.1380494
600,-108.7158134
601,-96.09974908
602,-90.42131706
603,-87.34757758
604,-91.71229362
605,-113.8741689
606,-183.6279646
607,-240.4131122
608,-178.2508989
609,-150.1785107
610,-122.4626058
611,-101.6906188
612,-101.6352381
613,-120.2394641
614,-114.3954255
615,-109.9136038
616,-107.2850803
617,-136.1428187
618,-182.7250515
619,-180.4958742
620,-198.4810415
621,-235.608701
622,-190.7313938
623,-135.0159018
624,-114.0788664
625,-99.95288505
626,-93.86364908
627,-91.87568412
628,-97.43775942
629,-119.5873694
630,-189.3961371
631,-246.0932723
632,-190.8815474
633,-167.6874816
634,-153.9180614
635,-146.8148652
636,-180.8544069
637,-179.0598485
638,-190.0164698
639,-163.5460355
640,-142.1478326
641,-166.2195593
642,-212.11154
643,-207.7112186
644,-225.2347237
645,-261.1738669
646,-210.4171682
647,-149.7953361
648,-128.1081346
649,-115.7140163
650,-107.3016446
651,-103.7032785
652,-106.1923205
653,-110.5591515
654,-135.4426711
655,-195.6591603
656,-260.6285492
657,-220.3441767
658,-165.6423315
659,-149.0542363
660,-136.7773911
661,-159.1381454
662,-147.4682237
663,-134.2035411
664,-117.0824993
665,-129.5874981
666,-157.6003807
667,-200.5884673
668,-224.6285905
669,-217.022937
