,domestic,commercial
5948,66.5473194,66.5473194
5949,66.469427,66.469427
5950,66.4689007,66.4689007
5951,66.4199548,66.4199548
5952,66.243118,66.243118
5953,66.0252298,66.0252298
5954,65.7783951,65.7783951
5955,65.5441916,65.5441916
5956,65.3399872,65.3399872
5957,65.1757816,65.1757816
5958,65.574717,65.574717
5959,65.8999704,65.8999704
5960,66.2294342,66.2294342
5961,66.6341589,66.6341589
5962,67.1994051,67.1994051
5963,67.8635957,67.8635957
5964,68.3751593,68.3751593
5965,68.5041028,68.5041028
5966,68.4530517,68.4530517
5967,68.2335846,68.2335846
5968,67.979908,67.979908
5969,67.5509735,67.5509735
5970,66.7983645,66.7983645
5971,66.4473224,66.4473224
5972,66.222066,66.222066
5973,66.0136512,66.0136512
5974,65.7510275,65.7510275
5975,65.5278763,65.5278763
5976,65.174729,65.174729
5977,64.6889541,64.6889541
5978,64.2310731,64.2310731
5979,63.8147698,63.8147698
5980,63.5731981,63.5731981
5981,63.5526724,63.5526724
5982,64.0200268,64.0200268
5983,64.7268477,64.7268477
5984,65.8420774,65.8420774
5985,66.6120543,66.6120543
5986,67.2741397,67.2741397
5987,67.8125446,67.8125446
5988,68.2335846,68.2335846
5989,68.4441046,68.4441046
5990,68.4604199,68.4604199
5991,68.2920039,68.2920039
5992,67.9025419,67.9025419
5993,66.9662542,66.9662542
5994,65.2394639,65.2394639
5995,64.4979072,64.4979072
5996,64.0500259,64.0500259
5997,63.6279333,63.6279333
