,domestic,commercial
6708,0.225011244,0.225011244
6709,0.294631183,0.294631183
6710,0.297519,0.297519
6711,0.230690203,0.230690203
6712,0.124978913,0.124978913
6713,0.01328671,0.01328671
6714,0,0
6715,0,0
6716,0,0
6717,0,0
6718,0,0
6719,0,0
6720,0,0
6721,0,0
6722,0,0
6723,0,0
6724,0,0
6725,0,0
6726,0.001261275,0.001261275
6727,0.040104166,0.040104166
6728,0.098979882,0.098979882
6729,0.095421568,0.095421568
6730,0.161847355,0.161847355
6731,0.196143389,0.196143389
6732,0.202767067,0.202767067
6733,0.273305785,0.273305785
6734,0.329901611,0.329901611
6735,0.236391336,0.236391336
6736,0.085500282,0.085500282
6737,0.000650289,0.000650289
6738,0,0
6739,0,0
6740,0,0
6741,0,0
6742,0,0
6743,0,0
6744,0,0
6745,0,0
6746,0,0
6747,0,0
6748,0,0
6749,0,0
6750,0.007576996,0.007576996
6751,0.099949564,0.099949564
6752,0.257798136,0.257798136
6753,0.395231877,0.395231877
6754,0.421406649,0.421406649
6755,0.500526871,0.500526871
6756,0.29699744,0.29699744
6757,0.466530611,0.466530611
6758,0.185630312,0.185630312
6759,0.208311043,0.208311043
6760,0.102268644,0.102268644
6761,0.005192589,0.005192589
6762,0,0
6763,0,0
6764,0,0
6765,0,0
6766,0,0
6767,0,0
6768,0,0
6769,0,0
6770,0,0
6771,0,0
6772,0,0
6773,0,0
6774,0.00618743,0.00618743
6775,0.102547591,0.102547591
6776,0.256973927,0.256973927
6777,0.399087058,0.399087058
6778,0.495003703,0.495003703
6779,0.439205361,0.439205361
6780,0.368082188,0.368082188
6781,0.367052411,0.367052411
6782,0.164954261,0.164954261
6783,0.203563936,0.203563936
6784,0.120978985,0.120978985
6785,0.011594655,0.011594655
6786,0,0
6787,0,0
6788,0,0
6789,0,0
6790,0,0
6791,0,0
6792,0,0
6793,0,0
6794,0,0
6795,0,0
6796,0,0
6797,0,0
6798,0.004363511,0.004363511
6799,0.035944232,0.035944232
6800,0.059458354,0.059458354
6801,0.065984344,0.065984344
6802,0.088876698,0.088876698
6803,0.180061197,0.180061197
6804,0.163677309,0.163677309
6805,0.191964625,0.191964625
6806,0.347185071,0.347185071
6807,0.230279644,0.230279644
6808,0.104779639,0.104779639
6809,0.009578373,0.009578373
6810,0,0
6811,0,0
6812,0,0
6813,0,0
6814,0,0
6815,0,0
6816,0,0
6817,0,0
6818,0,0
6819,0,0
6820,0,0
6821,0,0
6822,0.00246373,0.00246373
6823,0.040855102,0.040855102
6824,0.113422542,0.113422542
6825,0.23519045,0.23519045
6826,0.224837331,0.224837331
6827,0.255005304,0.255005304
6828,0.338129643,0.338129643
6829,0.224464772,0.224464772
6830,0.156752326,0.156752326
6831,0.126315838,0.126315838
6832,0.043509282,0.043509282
6833,0.002546844,0.002546844
6834,0,0
6835,0,0
6836,0,0
6837,0,0
6838,0,0
6839,0,0
6840,0,0
6841,0,0
6842,0,0
6843,0,0
6844,0,0
6845,0,0
6846,0.000641974,0.000641974
6847,0.009005245,0.009005245
6848,0.014197181,0.014197181
6849,0.033747453,0.033747453
6850,0.054274562,0.054274562
6851,0.048726253,0.048726253
6852,0.048302151,0.048302151
6853,0.039085613,0.039085613
6854,0.046960869,0.046960869
6855,0.114006949,0.114006949
6856,0.088364583,0.088364583
6857,0.0090874,0.0090874
6858,0,0
6859,0,0
6860,0,0
6861,0,0
6862,0,0
6863,0,0
6864,0,0
6865,0,0
6866,0,0
6867,0,0
6868,0,0
6869,0,0
6870,0,0
6871,0.030169558,0.030169558
6872,0.073140148,0.073140148
6873,0.061970491,0.061970491
6874,0.101672626,0.101672626
6875,0.17342904,0.17342904
6876,0.06359693,0.06359693
6877,0.038506785,0.038506785
6878,0.047768937,0.047768937
6879,0.038326074,0.038326074
6880,0.031342479,0.031342479
6881,0.001925622,0.001925622
6882,0,0
6883,0,0
6884,0,0
6885,0,0
6886,0,0
6887,0,0
6888,0,0
6889,0,0
6890,0,0
6891,0,0
6892,0,0
6893,0,0
6894,0,0
6895,0.029456168,0.029456168
6896,0.053669394,0.053669394
6897,0.076455931,0.076455931
6898,0.206291788,0.206291788
6899,0.18885022,0.18885022
6900,0.12665202,0.12665202
6901,0.090853295,0.090853295
6902,0.038936876,0.038936876
6903,0.041906852,0.041906852
6904,0.028577768,0.028577768
6905,0.003877801,0.003877801
6906,0,0
6907,0,0
6908,0,0
6909,0,0
6910,0,0
6911,0,0
6912,0,0
6913,0,0
6914,0,0
6915,0,0
6916,0,0
6917,0,0
6918,0,0
6919,0.034000989,0.034000989
6920,0.112899044,0.112899044
6921,0.162543649,0.162543649
6922,0.265258732,0.265258732
6923,0.334833496,0.334833496
6924,0.426844912,0.426844912
6925,0.283202694,0.283202694
6926,0.260001233,0.260001233
6927,0.153004582,0.153004582
6928,0.046437353,0.046437353
6929,0.004543811,0.004543811
6930,0,0
6931,0,0
6932,0,0
6933,0,0
6934,0,0
6935,0,0
6936,0,0
6937,0,0
6938,0,0
6939,0,0
6940,0,0
6941,0,0
6942,0,0
6943,0.046184227,0.046184227
6944,0.219239258,0.219239258
6945,0.366058541,0.366058541
6946,0.388285024,0.388285024
6947,0.270208104,0.270208104
6948,0.35580932,0.35580932
6949,0.20631973,0.20631973
6950,0.183649336,0.183649336
6951,0.122296212,0.122296212
6952,0.02724146,0.02724146
6953,0.000658594,0.000658594
6954,0,0
6955,0,0
6956,0,0
6957,0,0
6958,0,0
6959,0,0
6960,0,0
6961,0,0
6962,0,0
6963,0,0
6964,0,0
6965,0,0
6966,0,0
6967,0.0178639,0.0178639
6968,0.152548836,0.152548836
6969,0.118952263,0.118952263
6970,0.027805085,0.027805085
6971,0.042291444,0.042291444
6972,0.032783951,0.032783951
6973,0.096828913,0.096828913
6974,0.214678826,0.214678826
6975,0.175401741,0.175401741
6976,0.029702513,0.029702513
6977,0,0
6978,0,0
6979,0,0
6980,0,0
6981,0,0
6982,0,0
6983,0,0
6984,0,0
6985,0,0
6986,0,0
6987,0,0
6988,0,0
6989,0,0
6990,0,0
6991,0.048499586,0.048499586
6992,0.098362693,0.098362693
6993,0.175748837,0.175748837
6994,0.259448627,0.259448627
6995,0.282982426,0.282982426
6996,0.434532117,0.434532117
6997,0.408433846,0.408433846
6998,0.272455168,0.272455168
6999,0.162193342,0.162193342
7000,0.064449819,0.064449819
7001,0,0
7002,0,0
7003,0,0
7004,0,0
7005,0,0
7006,0,0
7007,0,0
7008,0,0
7009,0,0
7010,0,0
7011,0,0
7012,0,0
7013,0,0
7014,0,0
7015,0.056404962,0.056404962
7016,0.206252946,0.206252946
7017,0.275856317,0.275856317
7018,0.239113356,0.239113356
7019,0.282397035,0.282397035
7020,0.145683133,0.145683133
7021,0.197444129,0.197444129
7022,0.100566057,0.100566057
7023,0.042610224,0.042610224
7024,0.020806062,0.020806062
7025,0,0
7026,0,0
7027,0,0
7028,0,0
7029,0,0
7030,0,0
7031,0,0
7032,0,0
7033,0,0
7034,0,0
7035,0,0
7036,0,0
7037,0,0
7038,0,0
7039,0.016791487,0.016791487
7040,0.029319932,0.029319932
7041,0.127941865,0.127941865
7042,0.202519489,0.202519489
7043,0.135102984,0.135102984
7044,0.329347639,0.329347639
7045,0.109390555,0.109390555
7046,0.215324799,0.215324799
7047,0.103061052,0.103061052
7048,0.066169954,0.066169954
7049,0,0
7050,0,0
7051,0,0
7052,0,0
7053,0,0
7054,0,0
7055,0,0
7056,0,0
7057,0,0
7058,0,0
7059,0,0
7060,0,0
7061,0,0
7062,0,0
7063,0.055519207,0.055519207
7064,0.185408175,0.185408175
7065,0.30975408,0.30975408
7066,0.395851103,0.395851103
7067,0.442495358,0.442495358
7068,0.361527218,0.361527218
7069,0.237785594,0.237785594
7070,0.119174106,0.119174106
7071,0.06694208,0.06694208
7072,0.022277697,0.022277697
7073,0,0
7074,0,0
7075,0,0
7076,0,0
7077,0,0
7078,0,0
7079,0,0
7080,0,0
7081,0,0
7082,0,0
7083,0,0
7084,0,0
7085,0,0
7086,0,0
7087,0.010698468,0.010698468
7088,0.044394031,0.044394031
7089,0.097919237,0.097919237
7090,0.126621176,0.126621176
7091,0.177508603,0.177508603
7092,0.15136657,0.15136657
7093,0.095816712,0.095816712
7094,0.099742601,0.099742601
7095,0.075685706,0.075685706
7096,0.024194879,0.024194879
7097,0,0
7098,0,0
7099,0,0
7100,0,0
7101,0,0
7102,0,0
7103,0,0
7104,0,0
7105,0,0
7106,0,0
7107,0,0
7108,0,0
7109,0,0
7110,0,0
7111,0.024360809,0.024360809
7112,0.072307801,0.072307801
7113,0.098190526,0.098190526
7114,0.239395742,0.239395742
7115,0.293509546,0.293509546
7116,0.115850029,0.115850029
7117,0.130164445,0.130164445
7118,0.089259448,0.089259448
7119,0.033803048,0.033803048
7120,0.013108207,0.013108207
7121,0,0
7122,0,0
7123,0,0
7124,0,0
7125,0,0
7126,0,0
7127,0,0
7128,0,0
7129,0,0
7130,0,0
7131,0,0
7132,0,0
7133,0,0
7134,0,0
7135,0.038148989,0.038148989
7136,0.185304486,0.185304486
7137,0.322840538,0.322840538
7138,0.396843951,0.396843951
7139,0.378980668,0.378980668
7140,0.406876296,0.406876296
7141,0.360906989,0.360906989
7142,0.258109329,0.258109329
7143,0.184305966,0.184305966
7144,0.04003928,0.04003928
7145,0,0
7146,0,0
7147,0,0
7148,0,0
7149,0,0
7150,0,0
7151,0,0
